Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-18 00:00:00-04:00,110.5813278904205,111.95205514053694,110.46710546115212,111.91397857666016,31207600,0.0,0.0
2019-03-19 00:00:00-04:00,112.40897819969298,112.74214637379703,111.36189793606613,111.99015045166016,37588700,0.0,0.0
2019-03-20 00:00:00-04:00,111.74264302182,113.03721720618083,111.0953559296396,111.86638641357422,28113300,0.0,0.0
2019-03-21 00:00:00-04:00,111.50467777485933,115.00764217965742,111.45708024879593,114.43650817871094,29854400,0.0,0.0
2019-03-22 00:00:00-04:00,113.75114757041106,113.83681440482272,111.40949301910625,111.41901397705078,33624500,0.0,0.0
2019-03-25 00:00:00-04:00,110.95256928899116,112.33281754516256,110.72411715990019,111.9996566772461,27067100,0.0,0.0
2019-03-26 00:00:00-04:00,112.9134677868574,112.99913460833824,111.22861434078143,112.23762512207031,26097700,0.0,0.0
2019-03-27 00:00:00-04:00,112.2090669032068,112.52319311971317,109.96260039023895,111.1524658203125,22733400,0.0,0.0
2019-03-28 00:00:00-04:00,111.79023854940154,111.92350289579304,110.54325464764942,111.30477142333984,18334800,0.0,0.0
2019-03-29 00:00:00-04:00,112.38993297009415,112.62790606499672,111.33333184773771,112.26618957519531,25399800,0.0,0.0
2019-04-01 00:00:00-04:00,113.22759542415217,113.37990169052043,112.41848835556765,113.29422760009766,22789100,0.0,0.0
2019-04-02 00:00:00-04:00,113.33229640956085,113.73209670023161,112.81827368929446,113.45604705810547,18142300,0.0,0.0
2019-04-03 00:00:00-04:00,114.09380049256754,114.63637875997064,113.41795789719605,114.1985092163086,22860700,0.0,0.0
2019-04-04 00:00:00-04:00,114.32228014428502,114.44603080891319,112.68502399191209,113.61788177490234,20112800,0.0,0.0
2019-04-05 00:00:00-04:00,113.64642170641413,114.44601501899628,113.62738705575448,114.12236785888672,15826200,0.0,0.0
2019-04-08 00:00:00-04:00,114.0462240959635,114.24612062493223,112.93251175069659,114.16045379638672,15116200,0.0,0.0
2019-04-09 00:00:00-04:00,112.92297846595596,113.78920392595325,112.87538820941347,113.54170989990234,17612000,0.0,0.0
2019-04-10 00:00:00-04:00,113.99864492930787,114.56025800406614,113.78922742266471,114.407958984375,16477200,0.0,0.0
